Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
