Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
