Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTP_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
123,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
130,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
134,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
135,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
136,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
137,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
138,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
139,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
140,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
141,NULL,NULL,Water,Water,Water,NULL,NULL,Water
142,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
165,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
166,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
167,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
168,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
169,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
170,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
171,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
172,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
174,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
175,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
176,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
177,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
178,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
180,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
181,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
182,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
186,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
192,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
195,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
196,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
197,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
198,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
199,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
202,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
203,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
205,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
206,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
207,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
208,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
209,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
210,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
211,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
213,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
214,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
215,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
216,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
217,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
219,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
221,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
224,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
227,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
228,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
229,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
230,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
233,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
234,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
235,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
236,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
238,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
241,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
243,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
244,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
245,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
246,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
247,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
249,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
251,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
252,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
255,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
259,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
262,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
263,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
264,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
265,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
266,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
267,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
268,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
269,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
270,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
271,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
272,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
273,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
274,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
275,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
276,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
277,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
278,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
279,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
280,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
281,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
282,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
283,Grassland,NULL,Water,Water,Water,NULL,NULL,Cropland
284,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
285,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
286,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
290,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
291,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
293,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
296,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
298,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
299,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
301,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
304,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
305,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
306,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
307,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
308,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
310,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
311,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
312,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
313,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
314,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
316,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
318,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
319,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
323,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
324,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
327,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
328,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
330,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
331,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
332,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
333,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
334,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
335,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
336,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
337,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
339,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
340,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
