Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFT_M_R
46,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
49,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
51,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
52,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
54,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
71,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
75,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
76,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
78,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
81,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
83,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
85,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
86,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Forest
87,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
88,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
95,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
96,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
109,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
110,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
111,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
113,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
114,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
115,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
116,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
117,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
118,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
121,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
122,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
123,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
126,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
128,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
129,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
131,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
132,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
133,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
134,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
135,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
136,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
137,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
138,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
139,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
141,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
142,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
143,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
146,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
147,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
149,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
150,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
151,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
153,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
154,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
155,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
156,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
157,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
158,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
159,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
160,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
161,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
162,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
163,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
167,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
171,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
175,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
177,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
178,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
179,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
182,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
186,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
187,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
188,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
189,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
190,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
191,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Wetland
193,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
196,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
197,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
198,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
199,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
200,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
201,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
202,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
203,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
204,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
206,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
208,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
209,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
210,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
211,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
212,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
213,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
214,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
215,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
216,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
217,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
218,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
219,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
220,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
221,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
222,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
223,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
224,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
225,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
226,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
227,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
228,NULL,NULL,Water,Water,Water,Wetland,Water,Water
229,NULL,NULL,Water,Water,Water,Bareland,Water,Water
230,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
231,NULL,NULL,Water,Water,Water,Water,Water,Grassland
232,NULL,NULL,Water,Water,Water,Water,Water,Water
233,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
244,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
246,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
252,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
254,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
258,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
259,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
260,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
262,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
263,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
264,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
265,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
266,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
268,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
269,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
270,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
271,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
272,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
273,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
274,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
277,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
279,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
280,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
281,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
284,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
285,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
286,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
287,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
289,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
290,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
291,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
293,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
294,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
295,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
296,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
298,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
300,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
302,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
303,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
305,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
306,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
307,NULL,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
308,NULL,Wetland,Grassland,Water,Non_Wetland,Water,Water,Forest
309,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
310,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
311,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
312,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
313,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
314,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
315,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
316,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
317,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
318,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Grassland
319,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
320,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
321,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
322,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
323,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
324,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
325,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
326,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
327,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
328,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
329,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
330,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
331,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
332,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
333,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
334,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
335,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
336,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Forest
337,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
338,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
339,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
