Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTK_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
184,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
244,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
266,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
271,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
288,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
295,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
296,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
298,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
299,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
300,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
302,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
303,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
304,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
305,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Bareland
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
308,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Bareland
313,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
314,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
315,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Built-up,Grassland
317,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Forest,Forest
318,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
321,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
