Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
