Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
