Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
24,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
25,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
26,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
