Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
35,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
