Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
16,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
21,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
22,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
24,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
25,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
