Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
