Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LUQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,Water
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
63,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
64,NULL,NULL,Cropland,Water,Non_Wetland,Water
65,NULL,NULL,Cropland,Water,Non_Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,Water
70,NULL,NULL,Wetland,Non_Water,Wetland,Forest
71,NULL,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Wetland,Water,Wetland,Forest
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
80,NULL,NULL,Bareland,NULL,Non_Wetland,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Water
92,NULL,NULL,Bareland,Water,Non_Wetland,Forest
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
98,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
102,NULL,NULL,Water,NULL,Water,NULL
103,NULL,NULL,Water,NULL,Water,Grassland
104,NULL,NULL,Water,NULL,Water,Wetland
105,NULL,NULL,Water,NULL,Water,Bareland
106,NULL,NULL,Water,NULL,Water,Water
107,NULL,NULL,Water,NULL,Water,Forest
108,NULL,NULL,Water,Non_Water,Water,Grassland
109,NULL,NULL,Water,Non_Water,Water,Wetland
110,NULL,NULL,Water,Non_Water,Water,Bareland
111,NULL,NULL,Water,Non_Water,Water,Water
112,NULL,NULL,Water,Non_Water,Water,Forest
113,NULL,NULL,Water,Water,Water,NULL
114,NULL,NULL,Water,Water,Water,Grassland
115,NULL,NULL,Water,Water,Water,Wetland
116,NULL,NULL,Water,Water,Water,Bareland
117,NULL,NULL,Water,Water,Water,Water
118,NULL,NULL,Water,Water,Water,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
122,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
