Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
103,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
105,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
107,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
108,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
110,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
111,NULL,NULL,Water,Water,Water,NULL,NULL,Water
112,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
143,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
145,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
156,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
171,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
177,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
180,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
183,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
186,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
187,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
207,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
213,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
214,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
215,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
216,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
217,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
218,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,NULL
219,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
220,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
221,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
222,NULL,Cropland,Water,Water,Water,NULL,NULL,NULL
223,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
224,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
225,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
226,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
236,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
238,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
240,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
246,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
258,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
268,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
270,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
271,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
272,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
273,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
274,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
279,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
290,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
291,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
292,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
301,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
303,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
308,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
310,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
311,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
312,NULL,Water,Water,NULL,Water,NULL,NULL,Water
313,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
314,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
321,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
322,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
327,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
332,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
336,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
337,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
338,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
340,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
341,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
342,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
343,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
