Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
