Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
32,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
33,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Water
35,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
37,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
43,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
