Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
24,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
