Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Built-up
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
