Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Built-up
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Built-up
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Built-up
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Forest,Built-up
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Forest
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
235,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Built-up,Forest
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
239,NULL,NULL,NULL,Water,Non_Wetland,Built-up,NULL,Water
240,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Water
242,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Built-up,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
331,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
