Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
