Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
55,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
56,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Built-up,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
62,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
63,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
65,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
