Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
186,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
188,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
192,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
193,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
194,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
205,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
