Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
114,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
115,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
118,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
128,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
131,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
134,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
137,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
141,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
142,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
145,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
