Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
133,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
139,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
