Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Cropland
