Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Built-up
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
201,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
