Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
20,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
