Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
