Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Built-up
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
241,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
243,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
250,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
251,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
253,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
254,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
255,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
256,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
