Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
