Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
