Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
196,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
197,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
