Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
