Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKL_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
81,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
89,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
90,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
93,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
94,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
95,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
96,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
97,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
98,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
100,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
101,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
102,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
103,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
104,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
105,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
106,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
113,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
133,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
135,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
146,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
147,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Water
150,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
192,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
216,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
219,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
225,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
228,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
229,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
230,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
233,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
234,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
236,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
238,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
239,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
240,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
244,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
245,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
246,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
247,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
248,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
249,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
250,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
251,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
252,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
255,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
257,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
263,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
264,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
265,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
266,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
272,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
274,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
279,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
282,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
285,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
289,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
291,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
300,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
307,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
308,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
309,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
310,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
311,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
312,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
313,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
314,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
315,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
316,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
317,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
318,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
319,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
320,NULL,Water,Water,NULL,Water,NULL,NULL,Water
321,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
322,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
323,NULL,Water,Water,Water,Water,NULL,NULL,Water
324,NULL,Water,Water,Water,Water,NULL,NULL,Forest
325,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
330,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
332,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
335,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
337,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
338,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
340,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
341,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
342,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
343,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
