Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Built-up
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Built-up
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Built-up
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Water
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
