Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,NULL
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
244,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
245,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
