Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
6,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
7,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
9,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
10,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
11,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
16,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
17,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
18,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
19,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
20,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
22,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
23,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
24,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
25,NULL,Water,Water,Water,Water,Bareland,Water,Water
26,NULL,Water,Water,Water,Water,Water,Wetland,Water
27,NULL,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
28,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
29,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
30,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
32,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
33,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
37,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
38,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
39,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
40,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
41,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
42,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
43,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
44,Bareland,Bareland,Water,Water,Water,Water,Water,Water
45,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
46,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
47,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
48,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
49,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
50,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
51,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
52,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
53,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
54,Bareland,Water,Water,Water,Water,Bareland,Water,Water
55,Bareland,Water,Water,Water,Water,Water,Water,Water
56,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
57,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
58,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
59,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
60,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
61,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
62,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
63,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
64,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
65,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
66,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
67,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
68,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
69,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
70,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
71,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
72,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
73,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
74,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
75,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
76,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
77,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
78,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
79,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
80,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
81,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
82,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
83,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
84,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
85,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
86,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
87,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
88,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
89,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
90,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
91,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
92,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
93,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
94,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
95,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
96,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
97,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
98,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
99,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
100,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
101,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
102,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
103,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
104,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
105,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
106,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
107,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
108,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
109,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
110,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
111,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
112,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
113,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
114,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
115,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
116,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
117,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
118,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
119,Water,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
120,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
121,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
122,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
123,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
124,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
125,Water,Water,Wetland,Water,Wetland,Water,Water,Water
126,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
127,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
128,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
129,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
130,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
131,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
132,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
133,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
134,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
135,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
136,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
137,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
138,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
139,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
140,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
141,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
142,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
143,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
144,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
145,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
146,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
147,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
148,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
149,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
150,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
151,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
152,Water,Water,Water,NULL,Water,NULL,Forest,Water
153,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
154,Water,Water,Water,NULL,Water,Wetland,Water,Forest
155,Water,Water,Water,NULL,Water,Water,Wetland,Water
156,Water,Water,Water,NULL,Water,Water,Wetland,Forest
157,Water,Water,Water,NULL,Water,Water,Water,Bareland
158,Water,Water,Water,NULL,Water,Water,Water,Water
159,Water,Water,Water,NULL,Water,Water,Water,Forest
