Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
14,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
15,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
19,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
24,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
28,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
38,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
39,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
48,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
