Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
