Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
