Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
191,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
192,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
194,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
