Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGH_M_R
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
66,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
71,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Built-up
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
82,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
83,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
84,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
85,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
86,NULL,NULL,Wetland,Water,Wetland,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Cropland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Forest
113,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Wetland
115,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
116,NULL,NULL,Water,NULL,Water,NULL,Grassland
117,NULL,NULL,Water,NULL,Water,NULL,Wetland
118,NULL,NULL,Water,NULL,Water,NULL,Bareland
119,NULL,NULL,Water,NULL,Water,NULL,Forest
120,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
121,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
122,NULL,NULL,Water,Non_Water,Water,NULL,Forest
123,NULL,NULL,Water,Water,Water,NULL,Grassland
124,NULL,NULL,Water,Water,Water,NULL,Wetland
125,NULL,NULL,Water,Water,Water,NULL,Water
126,NULL,NULL,Water,Water,Water,NULL,Forest
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
150,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
151,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
152,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
158,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
159,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
161,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
162,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Forest
163,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
164,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
165,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
166,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Forest
167,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
168,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
169,NULL,Cropland,Wetland,Water,Wetland,NULL,Bareland
170,NULL,Cropland,Wetland,Water,Wetland,NULL,Water
171,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
172,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,Grassland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
174,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL
175,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
176,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
177,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
178,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Forest
179,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
184,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
188,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
189,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
190,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
191,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
192,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
193,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
194,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
195,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
196,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL
197,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
198,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
200,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL
201,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
202,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
203,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
204,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
205,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
206,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
207,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
208,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
210,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
211,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
212,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
213,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
214,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Cropland
217,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
218,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland
219,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
220,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
221,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL
222,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
223,NULL,Wetland,Wetland,Water,Wetland,NULL,Cropland
224,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
225,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
226,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
227,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
228,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
229,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
230,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
231,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
232,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
233,NULL,Wetland,Water,NULL,Water,NULL,Grassland
234,NULL,Wetland,Water,NULL,Water,NULL,Forest
235,NULL,Wetland,Water,Water,Water,NULL,Grassland
236,NULL,Wetland,Water,Water,Water,NULL,Wetland
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
239,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
240,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
241,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL
242,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
243,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
244,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
245,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
246,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
247,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
248,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Built-up
249,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
250,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
251,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
252,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
253,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
254,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
255,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
256,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
257,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
258,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
259,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Water
260,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
261,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
262,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
263,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
264,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
265,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
266,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
267,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Grassland
268,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
269,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
270,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
271,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
272,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
273,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
274,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
275,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
282,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
283,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
284,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
285,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
286,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL
287,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
290,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
291,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
292,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
293,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL
295,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
297,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
298,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
299,NULL,Built-up,Wetland,NULL,Wetland,NULL,Bareland
300,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
301,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water
302,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
303,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
304,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water
305,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
306,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
307,NULL,Built-up,Wetland,Water,Wetland,NULL,Water
308,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
309,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
310,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
311,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
312,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
313,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL
314,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Cropland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
318,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
319,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
320,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
321,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water
322,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
323,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Grassland
324,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
325,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up
326,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Forest
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
329,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
330,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
331,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL
332,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
333,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
334,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
335,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
336,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
337,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL
338,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
339,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Bareland
340,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
341,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
342,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL
343,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
344,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water
345,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
346,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
347,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
348,NULL,Water,Grassland,Water,Non_Wetland,NULL,Bareland
349,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
350,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
351,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
352,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
353,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
354,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland
355,NULL,Water,Wetland,NULL,Wetland,NULL,Water
356,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
357,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
358,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
359,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
360,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
361,NULL,Water,Wetland,Water,Wetland,NULL,Wetland
362,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
363,NULL,Water,Wetland,Water,Wetland,NULL,Water
364,NULL,Water,Wetland,Water,Wetland,NULL,Forest
365,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water
366,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
367,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
368,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
369,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
370,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Bareland
371,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
372,NULL,Water,Forest,Water,Non_Wetland,NULL,Grassland
373,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
374,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
375,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
376,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
377,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
378,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
379,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
380,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
381,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
