Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
51,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
52,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
53,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
54,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
55,NULL,NULL,Water,NULL,Water,Water,Water,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
71,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
74,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
