Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MWB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
44,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
45,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
46,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,NULL
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,NULL
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,NULL
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
67,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
68,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
69,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
70,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
71,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
77,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
78,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
79,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,NULL
80,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
81,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,NULL
82,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,NULL
83,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
