Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
158,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
163,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
164,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
169,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
170,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
171,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
