Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MME_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MME_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MME_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MME_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MME_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MME_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MME_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MME_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
51,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
56,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
57,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
58,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
