Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
