Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
