Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LXQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LXQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LXQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LXQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
268,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
292,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,NULL
293,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
