Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
24,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
