Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,NULL
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
