Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWK_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
102,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
104,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
105,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
108,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
109,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
110,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
111,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
112,NULL,NULL,Water,Water,Water,NULL,NULL,Water
113,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
170,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
172,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
186,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
187,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
188,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
189,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
190,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
191,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
210,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
212,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
215,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
216,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
217,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
218,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
219,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
236,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
240,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
242,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
243,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
244,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
245,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
246,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
247,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
248,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
257,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
258,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
259,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
260,NULL,Bareland,Water,Water,Water,NULL,NULL,Cropland
261,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
262,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
263,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
269,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
272,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
276,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
287,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
290,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
291,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
304,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
306,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Cropland
310,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
311,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
313,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
314,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
315,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
316,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
317,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
318,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
319,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
320,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
321,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
322,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
324,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
330,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
333,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
336,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
337,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
338,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
339,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
340,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
