Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Cropland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL
65,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,NULL,Wetland,Water,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Water
72,NULL,NULL,Wetland,Water,Wetland,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
97,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
99,NULL,NULL,Water,NULL,Water,Wetland
100,NULL,NULL,Water,NULL,Water,Water
101,NULL,NULL,Water,Non_Water,Water,Wetland
102,NULL,NULL,Water,Non_Water,Water,Water
103,NULL,NULL,Water,Water,NULL,Grassland
104,NULL,NULL,Water,Water,Water,Wetland
105,NULL,NULL,Water,Water,Water,Water
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Forest
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Wetland,NULL,Wetland,Wetland
