Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
15,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
17,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
19,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
24,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
25,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
26,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
27,NULL,NULL,Water,Water,Water,NULL,NULL,Water
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
31,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
46,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
47,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
48,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
50,NULL,Water,Water,NULL,Water,NULL,NULL,Water
