Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
22,NULL,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
42,NULL,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,Water
62,NULL,NULL,Cropland,Water,Non_Wetland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Built-up
65,NULL,NULL,Wetland,NULL,Wetland,Water
66,NULL,NULL,Wetland,NULL,Wetland,Forest
67,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
69,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
70,NULL,NULL,Wetland,Non_Water,Wetland,Water
71,NULL,NULL,Wetland,Non_Water,Wetland,Forest
72,NULL,NULL,Wetland,Water,Wetland,NULL
73,NULL,NULL,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Water,Wetland,Cropland
75,NULL,NULL,Wetland,Water,Wetland,Bareland
76,NULL,NULL,Wetland,Water,Wetland,Water
77,NULL,NULL,Wetland,Water,Wetland,Forest
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
83,NULL,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
90,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
91,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
92,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
105,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
106,NULL,NULL,Built-up,Water,Non_Wetland,Water
107,NULL,NULL,Water,NULL,Water,Grassland
108,NULL,NULL,Water,NULL,Water,Bareland
109,NULL,NULL,Water,NULL,Water,Water
110,NULL,NULL,Water,NULL,Water,Forest
111,NULL,NULL,Water,Non_Water,Water,Grassland
112,NULL,NULL,Water,Non_Water,Water,Bareland
113,NULL,NULL,Water,Non_Water,Water,Water
114,NULL,NULL,Water,Non_Water,Water,Forest
115,NULL,NULL,Water,Water,Water,Grassland
116,NULL,NULL,Water,Water,Water,Cropland
117,NULL,NULL,Water,Water,Water,Bareland
118,NULL,NULL,Water,Water,Water,Built-up
119,NULL,NULL,Water,Water,Water,Water
120,NULL,NULL,Water,Water,Water,Forest
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
