Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
54,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
57,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
83,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
89,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
130,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
138,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
141,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
144,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
148,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Wetland,Grassland
151,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
178,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
179,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
185,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
186,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
187,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
191,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
193,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
194,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Wetland,Grassland
195,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
197,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
198,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
199,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
200,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
217,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
231,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
233,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
234,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
235,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
237,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
238,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
239,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
241,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
242,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
243,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
244,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
245,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
246,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
248,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
249,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
250,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
253,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
255,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
256,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
257,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
258,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
260,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
261,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
262,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
263,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
264,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
265,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
266,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
268,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
269,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
270,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
271,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
272,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
273,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
274,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
275,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
276,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
277,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Wetland
279,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Bareland,Forest
281,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
283,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
284,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
286,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
289,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
292,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
293,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
296,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
316,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
320,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
321,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
324,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
325,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
326,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
327,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
328,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
329,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
