Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
14,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
37,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
40,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
41,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
43,NULL,NULL,Bareland,Water,Non_Wetland,Water,Forest,Water
44,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
45,NULL,NULL,Water,Water,Water,Water,Water,Water
46,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Bareland,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Bareland
67,NULL,NULL,Forest,Water,Non_Wetland,Forest,Forest,Water
68,NULL,Bareland,NULL,NULL,Non_Wetland,Water,Water,Water
69,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
70,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
71,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
72,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
73,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
74,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
75,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
76,NULL,Bareland,Water,Water,Water,Bareland,Water,Water
77,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,Bareland,Forest,NULL,Non_Wetland,Water,NULL,Water
80,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
81,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
82,NULL,Bareland,Forest,Water,Non_Wetland,Bareland,Forest,Grassland
83,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
84,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
91,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
