Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
17,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
18,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
