Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEE_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
70,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
71,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
72,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
73,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
74,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
75,NULL,NULL,Water,Water,Water,NULL,NULL,Water
76,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
110,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
111,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
125,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
126,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
127,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
128,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
129,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
130,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
131,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
139,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
149,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
150,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
158,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
159,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
167,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
169,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
171,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
175,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
176,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
177,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
178,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
179,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
180,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
181,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
182,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
183,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
184,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
185,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
186,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
187,NULL,Water,Water,NULL,Water,NULL,NULL,Water
188,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
189,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
190,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
191,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
192,NULL,Water,Water,Water,Water,NULL,NULL,Water
193,NULL,Water,Water,Water,Water,NULL,NULL,Forest
194,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
203,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,NULL
205,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
208,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
209,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
210,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
211,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
212,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
213,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
216,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
217,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
222,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
224,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
227,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
230,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
233,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
234,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
236,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
239,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
242,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
243,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
244,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
245,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
246,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
247,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
253,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
255,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
256,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
259,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
260,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
263,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
264,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
265,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
268,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
269,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
270,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
271,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
272,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
273,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
274,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
275,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
276,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
277,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
281,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
285,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
286,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
287,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
288,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
289,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
290,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
302,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
303,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
304,Grassland,Cropland,Water,Water,Water,NULL,NULL,Grassland
305,Grassland,Cropland,Water,Water,Water,NULL,NULL,Wetland
306,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
308,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
310,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
312,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
313,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
315,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
316,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
317,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
318,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
319,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
320,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
321,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
322,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
324,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
327,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
328,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
330,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
335,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
336,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
338,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
339,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
340,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
