Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCE_M_R
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
86,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,NULL
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
98,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
99,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
100,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
101,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
102,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
103,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
104,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
105,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Water,NULL
106,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
107,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
108,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
109,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,NULL
110,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
111,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
112,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
113,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
114,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
115,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
116,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
118,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
119,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
120,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
121,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
122,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
136,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
137,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
138,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
139,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
140,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
141,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
142,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,NULL
143,NULL,NULL,Wetland,NULL,Wetland,Built-up,Wetland,NULL
144,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,NULL
145,NULL,NULL,Wetland,NULL,Wetland,Built-up,Water,NULL
146,NULL,NULL,Wetland,NULL,Wetland,Built-up,Forest,NULL
147,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
149,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,NULL
150,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
151,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
152,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
153,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
154,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,NULL
155,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
156,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,NULL
157,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
158,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
159,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
160,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
161,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
162,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
164,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
165,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
166,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
167,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
168,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
169,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
170,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
171,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
172,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
173,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,NULL
174,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,NULL
175,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Bareland,NULL
176,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
177,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
178,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
179,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
180,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
181,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
182,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,NULL
183,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
184,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
185,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
186,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
187,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
188,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
189,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
190,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
191,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
192,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
193,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
194,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
195,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
196,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
197,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
198,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
199,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
200,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Water,NULL
201,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,NULL
202,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
203,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
204,NULL,NULL,Water,NULL,Water,Grassland,Grassland,NULL
205,NULL,NULL,Water,NULL,Water,Grassland,Wetland,NULL
206,NULL,NULL,Water,NULL,Water,Grassland,Bareland,NULL
207,NULL,NULL,Water,NULL,Water,Grassland,Water,NULL
208,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
209,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
210,NULL,NULL,Water,NULL,Water,Bareland,Grassland,NULL
211,NULL,NULL,Water,NULL,Water,Bareland,Wetland,NULL
212,NULL,NULL,Water,NULL,Water,Bareland,Bareland,NULL
213,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
214,NULL,NULL,Water,NULL,Water,Bareland,Forest,NULL
215,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
216,NULL,NULL,Water,NULL,Water,Water,Bareland,NULL
217,NULL,NULL,Water,NULL,Water,Water,Water,NULL
218,NULL,NULL,Water,NULL,Water,Water,Forest,NULL
219,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
220,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
221,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,NULL
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
229,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
230,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
231,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
232,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
233,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
234,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
235,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
236,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
237,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,NULL
238,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
239,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
240,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
241,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
242,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
243,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
244,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
245,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
246,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
247,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
248,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
249,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
250,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
251,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
253,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
254,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
255,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
256,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
257,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
258,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
259,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
260,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
261,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
263,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
265,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
266,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
267,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
268,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
269,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
270,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
271,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
272,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
273,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
274,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Water,NULL
275,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
276,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
277,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Bareland,NULL
278,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Water,NULL
279,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Forest,NULL
280,NULL,Cropland,Wetland,NULL,Wetland,Water,Water,NULL
281,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
282,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
283,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
284,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
285,NULL,Cropland,Water,NULL,Water,Wetland,Water,NULL
286,NULL,Cropland,Water,NULL,Water,Water,Water,NULL
287,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
288,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
289,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
290,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
291,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
292,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
293,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
294,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
295,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
296,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
297,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
298,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
299,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
300,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Forest,NULL
301,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
302,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
303,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
304,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
305,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
306,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
307,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
308,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
309,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
310,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
312,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
313,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
314,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
315,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
316,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
317,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
318,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
319,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
320,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
321,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,NULL
322,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
323,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,NULL
324,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,NULL
325,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,NULL
326,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
327,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
328,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,NULL
329,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
330,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,NULL
331,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
332,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,NULL
333,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
334,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Forest,NULL
335,NULL,Wetland,Wetland,NULL,Wetland,Water,Grassland,NULL
336,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
337,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
338,NULL,Wetland,Wetland,NULL,Wetland,Water,Forest,NULL
