Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
