Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MYU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MYU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MYU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MYU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MYU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MYU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
