Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
5,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
7,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
8,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
9,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
10,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
11,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
12,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
13,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
14,NULL,NULL,Water,Water,Water,Wetland,Water,Water
15,NULL,NULL,Water,Water,Water,Water,Water,Water
16,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
17,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
