Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
115,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
116,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
117,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
118,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
120,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,Water,Water,NULL,NULL,Water
122,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
161,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
176,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
178,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
179,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
182,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
183,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
184,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
185,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
186,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
187,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
188,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
216,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
217,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
218,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
219,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
220,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
221,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
222,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
223,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
224,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
225,NULL,Water,Water,Water,Water,NULL,NULL,Forest
226,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
233,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
239,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
241,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
243,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
249,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
251,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
252,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
253,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
254,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
255,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
256,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
257,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
258,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
259,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
265,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
268,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
270,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
273,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
277,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
279,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
281,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
282,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
283,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
284,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
292,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
293,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
295,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
296,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
297,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
299,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
300,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
301,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
302,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
303,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
305,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
307,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
308,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
310,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
311,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
312,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
313,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
314,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
315,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
318,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
319,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
321,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
323,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
324,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
325,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
326,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
328,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
329,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
330,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
331,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
332,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
333,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
335,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
336,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
337,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
338,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
339,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
340,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
341,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
