Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
6,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
9,NULL,NULL,Wetland,NULL,Wetland,NULL
10,NULL,NULL,Wetland,NULL,Wetland,Grassland
11,NULL,NULL,Wetland,NULL,Wetland,Wetland
12,NULL,NULL,Wetland,NULL,Wetland,Forest
13,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
14,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
15,NULL,NULL,Wetland,Water,Wetland,Wetland
16,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
17,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
18,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
21,NULL,NULL,Forest,NULL,Non_Wetland,NULL
22,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
23,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
24,NULL,NULL,Forest,NULL,Non_Wetland,Forest
25,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
26,NULL,Wetland,Wetland,NULL,Wetland,Forest
27,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
28,NULL,Wetland,Water,Water,Water,Wetland
29,NULL,Wetland,Water,Water,Water,Water
30,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
33,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
34,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
35,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
37,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
38,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
39,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
40,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
41,NULL,Built-up,Wetland,NULL,Wetland,Grassland
42,NULL,Built-up,Wetland,NULL,Wetland,Wetland
43,NULL,Built-up,Wetland,NULL,Wetland,Built-up
44,NULL,Built-up,Wetland,NULL,Wetland,Water
45,NULL,Built-up,Wetland,NULL,Wetland,Forest
46,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
47,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
48,NULL,Built-up,Wetland,Water,Wetland,Wetland
49,NULL,Built-up,Wetland,Water,Wetland,Built-up
50,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
51,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
52,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
53,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
54,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
55,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
56,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
57,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
58,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
59,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
60,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
61,NULL,Built-up,Built-up,Water,Non_Wetland,Water
62,NULL,Built-up,Water,Non_Water,Water,Built-up
63,NULL,Built-up,Water,Water,Water,Water
64,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
65,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
66,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
67,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
68,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
69,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
70,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
71,NULL,Water,Cropland,NULL,Non_Wetland,Water
72,NULL,Water,Wetland,NULL,Wetland,Grassland
73,NULL,Water,Wetland,NULL,Wetland,Built-up
74,NULL,Water,Wetland,NULL,Wetland,Water
75,NULL,Water,Wetland,NULL,Wetland,Forest
76,NULL,Water,Wetland,Non_Water,Wetland,Grassland
77,NULL,Water,Wetland,Non_Water,Wetland,Wetland
78,NULL,Water,Wetland,Non_Water,Wetland,Bareland
79,NULL,Water,Wetland,Non_Water,Wetland,Built-up
80,NULL,Water,Wetland,Non_Water,Wetland,Water
81,NULL,Water,Wetland,Water,NULL,Water
82,NULL,Water,Wetland,Water,Wetland,Grassland
83,NULL,Water,Wetland,Water,Wetland,Wetland
84,NULL,Water,Wetland,Water,Wetland,Bareland
85,NULL,Water,Wetland,Water,Wetland,Built-up
86,NULL,Water,Wetland,Water,Wetland,Water
87,NULL,Water,Wetland,Water,Wetland,Forest
88,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
89,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
90,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
91,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Water,Built-up,NULL,Non_Wetland,Water
93,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up
94,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
95,NULL,Water,Built-up,Water,Non_Wetland,Wetland
96,NULL,Water,Built-up,Water,Non_Wetland,Bareland
97,NULL,Water,Built-up,Water,Non_Wetland,Built-up
98,NULL,Water,Built-up,Water,Non_Wetland,Water
99,NULL,Water,Water,NULL,Water,Water
100,NULL,Water,Water,Non_Water,Water,Water
101,NULL,Water,Water,Water,NULL,Water
102,NULL,Water,Water,Water,Water,Wetland
103,NULL,Water,Water,Water,Water,Water
104,NULL,Water,Water,Water,Water,Forest
105,NULL,Water,Forest,NULL,Non_Wetland,Water
106,NULL,Water,Forest,Water,Non_Wetland,Water
107,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Built-up
113,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
115,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
117,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
119,NULL,Forest,Wetland,NULL,Wetland,NULL
120,NULL,Forest,Wetland,NULL,Wetland,Grassland
121,NULL,Forest,Wetland,NULL,Wetland,Wetland
122,NULL,Forest,Wetland,NULL,Wetland,Built-up
123,NULL,Forest,Wetland,NULL,Wetland,Forest
124,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
125,NULL,Forest,Wetland,Non_Water,Wetland,Built-up
126,NULL,Forest,Wetland,Non_Water,Wetland,Water
127,NULL,Forest,Wetland,Non_Water,Wetland,Forest
128,NULL,Forest,Wetland,Water,Wetland,Wetland
129,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
130,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Forest,Built-up,NULL,Non_Wetland,Water
132,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
133,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
134,NULL,Forest,Built-up,Non_Water,Non_Wetland,Built-up
135,NULL,Forest,Water,NULL,Water,Wetland
136,NULL,Forest,Water,NULL,Water,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,NULL
138,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
139,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
140,NULL,Forest,Forest,NULL,Non_Wetland,Forest
141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
142,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
144,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
145,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
146,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
147,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
148,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
149,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
150,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
151,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
152,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
153,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
154,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
155,Grassland,NULL,Wetland,NULL,Wetland,Grassland
156,Grassland,NULL,Wetland,NULL,Wetland,Cropland
157,Grassland,NULL,Wetland,NULL,Wetland,Wetland
158,Grassland,NULL,Wetland,NULL,Wetland,Forest
159,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
160,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
161,Grassland,NULL,Wetland,Water,Wetland,Wetland
162,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
163,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
164,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
165,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
166,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
167,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
168,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
169,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
170,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
171,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
172,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
173,Grassland,Wetland,Wetland,NULL,Wetland,Forest
174,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
175,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
176,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
177,Grassland,Wetland,Wetland,Water,Wetland,Wetland
178,Grassland,Wetland,Wetland,Water,Wetland,Water
179,Grassland,Wetland,Water,Water,Water,Wetland
180,Grassland,Wetland,Water,Water,Water,Water
181,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
182,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
183,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
184,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
185,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
186,Grassland,Water,Wetland,Non_Water,Wetland,Water
187,Grassland,Water,Wetland,Water,Wetland,Grassland
188,Grassland,Water,Wetland,Water,Wetland,Bareland
189,Grassland,Water,Wetland,Water,Wetland,Water
190,Grassland,Water,Water,Non_Water,Water,Wetland
191,Grassland,Water,Water,Water,Water,Wetland
192,Grassland,Water,Water,Water,Water,Water
193,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
194,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
195,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
196,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
197,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
198,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
199,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
200,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
201,Grassland,Forest,Wetland,NULL,Wetland,Grassland
